date,year,team,opponent,team_score,opponent_score,margin,result,tournament
1992-07-11,1992,Argentina,France,9,33,-24,Loss,1992 France tour of Argentina
1992-07-11,1992,France,Argentina,33,9,24,Win,1992 France tour of Argentina
1992-07-19,1992,Australia,New Zealand,19,17,2,Win,1992 New Zealand tour of Australia and South Africa
1992-07-19,1992,New Zealand,Australia,17,19,-2,Loss,1992 New Zealand tour of Australia and South Africa
1992-07-25,1992,Australia,New Zealand,23,26,-3,Loss,1992 New Zealand tour of Australia and South Africa
1992-07-25,1992,New Zealand,Australia,26,23,3,Win,1992 New Zealand tour of Australia and South Africa
1992-08-15,1992,New Zealand,South Africa,27,24,3,Win,1992 New Zealand tour
1992-08-15,1992,South Africa,New Zealand,24,27,-3,Loss,1992 New Zealand tour
1992-08-29,1992,Australia,South Africa,26,3,23,Win,1992 Australia tour of South Africa
1992-08-29,1992,South Africa,Australia,3,26,-23,Loss,1992 Australia tour of South Africa
1992-10-17,1992,France,South Africa,15,20,-5,Loss,1992 South Africa rugby union tour of France and England
1992-10-17,1992,South Africa,France,20,15,5,Win,1992 South Africa rugby union tour of France and England
1992-10-24,1992,France,South Africa,29,16,13,Win,1992 South Africa rugby union tour of France and England
1992-10-24,1992,South Africa,France,16,29,-13,Loss,1992 South Africa rugby union tour of France and England
1992-10-31,1992,Australia,Ireland,42,17,25,Win,1992 Australia tour of Great Britain and Ireland
1992-10-31,1992,Ireland,Australia,17,42,-25,Loss,1992 Australia tour of Great Britain and Ireland
1992-11-14,1992,Argentina,France,24,20,4,Win,1992 Argentina tour of Europe
1992-11-14,1992,England,South Africa,33,16,17,Win,1992 South Africa rugby union tour of France and England
1992-11-14,1992,France,Argentina,20,24,-4,Loss,1992 Argentina tour of Europe
1992-11-14,1992,South Africa,England,16,33,-17,Loss,1992 South Africa rugby union tour of France and England
1992-11-21,1992,Australia,Wales,23,6,17,Win,1992 Australia tour of Great Britain and Ireland
1992-11-21,1992,Wales,Australia,6,23,-17,Loss,1992 Australia tour of Great Britain and Ireland
1993-01-16,1993,England,France,16,15,1,Win,1993 Five Nations Championship
1993-01-16,1993,France,England,15,16,-1,Loss,1993 Five Nations Championship
1993-01-16,1993,Ireland,Scotland,3,15,-12,Loss,1993 Five Nations Championship
1993-02-06,1993,England,Wales,9,10,-1,Loss,1993 Five Nations Championship
1993-02-06,1993,France,Scotland,11,3,8,Win,1993 Five Nations Championship
1993-02-06,1993,Wales,England,10,9,1,Win,1993 Five Nations Championship
1993-02-20,1993,France,Ireland,21,6,15,Win,1993 Five Nations Championship
1993-02-20,1993,Ireland,France,6,21,-15,Loss,1993 Five Nations Championship
1993-02-20,1993,Wales,Scotland,0,20,-20,Loss,1993 Five Nations Championship
1993-03-06,1993,England,Scotland,26,12,14,Win,1993 Five Nations Championship
1993-03-06,1993,Ireland,Wales,19,14,5,Win,1993 Five Nations Championship
1993-03-06,1993,Wales,Ireland,14,19,-5,Loss,1993 Five Nations Championship
1993-03-20,1993,England,Ireland,3,17,-14,Loss,1993 Five Nations Championship
1993-03-20,1993,France,Wales,26,10,16,Win,1993 Five Nations Championship
1993-03-20,1993,Ireland,England,17,3,14,Win,1993 Five Nations Championship
1993-03-20,1993,Wales,France,10,26,-16,Loss,1993 Five Nations Championship
1993-06-26,1993,France,South Africa,20,20,0,Draw,1993 France rugby union tour of South Africa
1993-06-26,1993,South Africa,France,20,20,0,Draw,1993 France rugby union tour of South Africa
1993-07-03,1993,France,South Africa,18,17,1,Win,1993 France rugby union tour of South Africa
1993-07-03,1993,South Africa,France,17,18,-1,Loss,1993 France rugby union tour of South Africa
1993-07-17,1993,Australia,New Zealand,10,25,-15,Loss,1993 Australia tour of New Zealand
1993-07-17,1993,New Zealand,Australia,25,10,15,Win,1993 Australia tour of New Zealand
1993-07-31,1993,Australia,South Africa,12,19,-7,Loss,1993 South Africa tour of Australia
1993-07-31,1993,South Africa,Australia,19,12,7,Win,1993 South Africa tour of Australia
1993-08-14,1993,Australia,South Africa,28,20,8,Win,1993 South Africa tour of Australia
1993-08-14,1993,South Africa,Australia,20,28,-8,Loss,1993 South Africa tour of Australia
1993-08-21,1993,Australia,South Africa,19,12,7,Win,1993 South Africa tour of Australia
1993-08-21,1993,South Africa,Australia,12,19,-7,Loss,1993 South Africa tour of Australia
1993-10-30,1993,Australia,France,13,16,-3,Loss,1993 Australia tour of France and North America
1993-10-30,1993,France,Australia,16,13,3,Win,1993 Australia tour of France and North America
1993-11-06,1993,Argentina,South Africa,26,29,-3,Loss,1993 South Africa tour of Argentina
1993-11-06,1993,Australia,France,24,3,21,Win,1993 Australia tour of France and North America
1993-11-06,1993,France,Australia,3,24,-21,Loss,1993 Australia tour of France and North America
1993-11-06,1993,South Africa,Argentina,29,26,3,Win,1993 South Africa tour of Argentina
1993-11-13,1993,Argentina,South Africa,23,52,-29,Loss,1993 South Africa tour of Argentina
1993-11-13,1993,South Africa,Argentina,52,23,29,Win,1993 South Africa tour of Argentina
1993-11-20,1993,New Zealand,Scotland,51,15,36,Win,1993 New Zealand tour of Britain
1993-11-27,1993,England,New Zealand,15,9,6,Win,1993 New Zealand rugby union tour of Britain
1993-11-27,1993,New Zealand,England,9,15,-6,Loss,1993 New Zealand rugby union tour of Britain
1994-01-15,1994,France,Ireland,35,15,20,Win,1994 Five Nations Championship
1994-01-15,1994,Ireland,France,15,35,-20,Loss,1994 Five Nations Championship
1994-01-15,1994,Wales,Scotland,29,6,23,Win,1994 Five Nations Championship
1994-02-05,1994,England,Scotland,15,14,1,Win,1994 Five Nations Championship
1994-02-05,1994,Ireland,Wales,15,17,-2,Loss,1994 Five Nations Championship
1994-02-05,1994,Wales,Ireland,17,15,2,Win,1994 Five Nations Championship
1994-02-19,1994,England,Ireland,12,13,-1,Loss,1994 Five Nations Championship
1994-02-19,1994,France,Wales,15,24,-9,Loss,1994 Five Nations Championship
1994-02-19,1994,Ireland,England,13,12,1,Win,1994 Five Nations Championship
1994-02-19,1994,Wales,France,24,15,9,Win,1994 Five Nations Championship
1994-03-05,1994,England,France,18,14,4,Win,1994 Five Nations Championship
1994-03-05,1994,France,England,14,18,-4,Loss,1994 Five Nations Championship
1994-03-05,1994,Ireland,Scotland,6,6,0,Draw,1994 Five Nations Championship
1994-03-19,1994,England,Wales,15,8,7,Win,1994 Five Nations Championship
1994-03-19,1994,France,Scotland,20,12,8,Win,1994 Five Nations Championship
1994-03-19,1994,Wales,England,8,15,-7,Loss,1994 Five Nations Championship
1994-06-04,1994,Argentina,Scotland,16,15,1,Win,1994 Scotland tour of Argentina
1994-06-04,1994,England,South Africa,32,15,17,Win,1994 England rugby union tour of South Africa
